RVA,label,comment
0009E53C,FindNextFileA,FindNextFileA
0009E542,FindClose,FindClose
0009E548,FindFirstFileA,FindFirstFileA
0009E54E,DirectDrawCreate,DirectDrawCreate
0009E554,GetDiskFreeSpaceA,GetDiskFreeSpaceA
0009E55A,GetCurrentDirectoryA,GetCurrentDirectoryA
0009E560,DirectSoundCreate,DirectSoundCreate
000A6210,WindowName,WindowName
000A621A,ClassName,ClassName
000A6224,aInsufficientRa,aInsufficientRa
000A6243,Caption,Caption
000A625C,Text,Text
000A63AE,OutputString,OutputString
000A6E9C,String,String
000A6EFC,pszFileName,pszFileName
000A989E,LibFileName,LibFileName
000A98A9,ProcName,ProcName
000A9978,FileName,FileName
000AD964,_IsTable,_IsTable
000AE868,aTemperate,aTemperate
000AF944,ScreenWidth,
000AF948,ScreenHeight,
000B0978,VideoBackBuffer,
000B5820,HardwareFills,
000B6E68,dwTlsIndex,dwTlsIndex
000D86F0,ScrollRate,
000ECB48,SidebarButtonShoreX,
000ECB84,SidebarButtonRiverX,
000ECBC0,SidebarButtonRoadX,
000ECBFC,SidebarButtonRidgesX,
000ECC38,SidebarButtonTreesX,
000ECC74,SidebarButtonDebrisX,
000ECCB0,SidebarButtonTerrainClearX,
000ECCE8,SidebarButtonTerrainWaterX,
000ECD20,SidebarButtonTerrainOreX,
000ECD58,SidebarButtonTerrainGemX,
000ECD90,SidebarButtonLeftArrowX,
000ECDC8,SidebarButtonRightArrowX,
000ECE00,SidebarButtonTileBrowserX,
000ECE38,SidebarButtonFlagX,
000ECE70,SidebarButtonTileSelectionX,
000FE9A8,TargetHandle,TargetHandle
000FEF9C,uTimerID,uTimerID
000FEFF0,CriticalSection,CriticalSection
00104294,lpDD,lpDD
0010429C,hWnd,hWnd
0013F0E0,dwDesiredAccess,dwDesiredAccess
0013F0E4,hThread,hThread
0013F0EC,Context,Context
